term,score,date
people,27.40520174117764,2002
world,26.128659384618306,2002
children,19.92416254075437,2002
country,19.599839570372954,2002
life,12.587951510298259,2002
south,11.115757790250541,2002
president,10.744335030276737,2002
africa,10.522645829163901,2002
work,10.41451080352442,2002
first,10.261693811792433,2002
countries,9.834986996523359,2002
even,9.7407072801003,2002
leadership,9.697990609241998,2002
african,9.639681648747839,2002
million,9.561927943277428,2002
leaders,9.512625202207047,2002
youth,8.82235634077363,2002
need,8.592292541131894,2002
democratic,8.52188305066971,2002
south africa,8.322155245240294,2002
today,8.306904347526277,2002
future,8.211874596436196,2002
struggle,8.2036626843126,2002
national,8.161625658534884,2002
society,8.059143737927068,2002
years,8.045288025663277,2002
make,7.578827289702169,2002
education,7.483580710954837,2002
example,7.40931824730132,2002
together,7.359799442710503,2002
others,7.308456312512526,2002
government,7.304987518292266,2002
young,7.280561217397271,2002
two,7.052123395517132,2002
human,6.871712179658447,2002
time,6.654119804073575,2002
organisation,6.421657260472517,2002
building,6.212708764931927,2002
live,6.1890083553331365,2002
different,6.161266027626558,2002
mandela,6.032470733289329,2002
take,6.010602503890911,2002
use,5.9214222418035,2002
international,5.599188579236968,2002
challenges,5.542961303988611,2002
continue,5.437186520847202,2002
private,5.367787726335318,2002
community,5.352030731242346,2002
past,5.268261931982382,2002
every,5.1720138182348006,2002
